vector_id,detected_faults,total_collapsed_faults,undetected_faults,fault_coverage_percent
423,914,994,80,91.95171026156942
424,914,994,80,91.95171026156942
425,914,994,80,91.95171026156942
426,914,994,80,91.95171026156942
427,914,994,80,91.95171026156942
428,914,994,80,91.95171026156942
429,914,994,80,91.95171026156942
430,914,994,80,91.95171026156942
431,914,994,80,91.95171026156942
432,914,994,80,91.95171026156942
433,914,994,80,91.95171026156942
434,914,994,80,91.95171026156942
435,914,994,80,91.95171026156942
436,914,994,80,91.95171026156942
437,914,994,80,91.95171026156942
438,914,994,80,91.95171026156942
439,914,994,80,91.95171026156942
440,914,994,80,91.95171026156942
441,914,994,80,91.95171026156942
442,914,994,80,91.95171026156942
443,914,994,80,91.95171026156942
444,914,994,80,91.95171026156942
445,914,994,80,91.95171026156942
446,914,994,80,91.95171026156942
447,914,994,80,91.95171026156942
448,914,994,80,91.95171026156942
449,914,994,80,91.95171026156942
450,914,994,80,91.95171026156942
451,914,994,80,91.95171026156942
452,914,994,80,91.95171026156942
453,914,994,80,91.95171026156942
454,914,994,80,91.95171026156942
455,914,994,80,91.95171026156942
456,914,994,80,91.95171026156942
457,914,994,80,91.95171026156942
458,914,994,80,91.95171026156942
459,914,994,80,91.95171026156942
460,914,994,80,91.95171026156942
461,914,994,80,91.95171026156942
462,914,994,80,91.95171026156942
463,914,994,80,91.95171026156942
464,914,994,80,91.95171026156942
465,914,994,80,91.95171026156942
466,914,994,80,91.95171026156942
467,914,994,80,91.95171026156942
468,914,994,80,91.95171026156942
469,914,994,80,91.95171026156942
470,914,994,80,91.95171026156942
471,914,994,80,91.95171026156942
472,914,994,80,91.95171026156942
473,914,994,80,91.95171026156942
474,914,994,80,91.95171026156942
475,914,994,80,91.95171026156942
476,914,994,80,91.95171026156942
477,914,994,80,91.95171026156942
478,914,994,80,91.95171026156942
479,914,994,80,91.95171026156942
480,914,994,80,91.95171026156942
481,915,994,79,92.0523138832998
482,915,994,79,92.0523138832998
483,915,994,79,92.0523138832998
484,915,994,79,92.0523138832998
485,915,994,79,92.0523138832998
486,915,994,79,92.0523138832998
487,915,994,79,92.0523138832998
488,915,994,79,92.0523138832998
489,915,994,79,92.0523138832998
490,915,994,79,92.0523138832998
491,915,994,79,92.0523138832998
492,915,994,79,92.0523138832998
493,915,994,79,92.0523138832998
494,915,994,79,92.0523138832998
495,915,994,79,92.0523138832998
496,915,994,79,92.0523138832998
497,915,994,79,92.0523138832998
498,915,994,79,92.0523138832998
499,915,994,79,92.0523138832998
500,915,994,79,92.0523138832998
501,915,994,79,92.0523138832998
502,915,994,79,92.0523138832998
503,915,994,79,92.0523138832998
504,915,994,79,92.0523138832998
505,915,994,79,92.0523138832998
506,915,994,79,92.0523138832998
507,915,994,79,92.0523138832998
508,915,994,79,92.0523138832998
509,915,994,79,92.0523138832998
510,915,994,79,92.0523138832998
511,915,994,79,92.0523138832998
512,915,994,79,92.0523138832998
513,915,994,79,92.0523138832998
514,915,994,79,92.0523138832998
515,915,994,79,92.0523138832998
516,915,994,79,92.0523138832998
517,915,994,79,92.0523138832998
518,915,994,79,92.0523138832998
519,915,994,79,92.0523138832998
520,918,994,76,92.35412474849095
521,918,994,76,92.35412474849095
522,918,994,76,92.35412474849095
523,918,994,76,92.35412474849095
524,918,994,76,92.35412474849095
525,918,994,76,92.35412474849095
526,918,994,76,92.35412474849095
527,918,994,76,92.35412474849095
528,918,994,76,92.35412474849095
529,918,994,76,92.35412474849095
530,918,994,76,92.35412474849095
531,918,994,76,92.35412474849095
532,918,994,76,92.35412474849095
533,918,994,76,92.35412474849095
534,918,994,76,92.35412474849095
535,918,994,76,92.35412474849095
536,918,994,76,92.35412474849095
537,918,994,76,92.35412474849095
538,918,994,76,92.35412474849095
539,918,994,76,92.35412474849095
540,918,994,76,92.35412474849095
541,918,994,76,92.35412474849095
542,918,994,76,92.35412474849095
543,918,994,76,92.35412474849095
544,918,994,76,92.35412474849095
545,918,994,76,92.35412474849095
546,918,994,76,92.35412474849095
547,918,994,76,92.35412474849095
548,918,994,76,92.35412474849095
549,918,994,76,92.35412474849095
550,918,994,76,92.35412474849095
551,918,994,76,92.35412474849095
552,918,994,76,92.35412474849095
553,918,994,76,92.35412474849095
554,918,994,76,92.35412474849095
555,918,994,76,92.35412474849095
556,918,994,76,92.35412474849095
557,918,994,76,92.35412474849095
558,918,994,76,92.35412474849095
559,918,994,76,92.35412474849095
560,918,994,76,92.35412474849095
561,918,994,76,92.35412474849095
562,918,994,76,92.35412474849095
563,918,994,76,92.35412474849095
564,918,994,76,92.35412474849095
565,918,994,76,92.35412474849095
566,918,994,76,92.35412474849095
567,918,994,76,92.35412474849095
568,918,994,76,92.35412474849095
569,918,994,76,92.35412474849095
570,918,994,76,92.35412474849095
571,918,994,76,92.35412474849095
572,918,994,76,92.35412474849095
573,918,994,76,92.35412474849095
574,918,994,76,92.35412474849095
575,918,994,76,92.35412474849095
576,918,994,76,92.35412474849095
577,918,994,76,92.35412474849095
578,918,994,76,92.35412474849095
579,918,994,76,92.35412474849095
580,918,994,76,92.35412474849095
581,918,994,76,92.35412474849095
582,918,994,76,92.35412474849095
583,918,994,76,92.35412474849095
584,918,994,76,92.35412474849095
585,918,994,76,92.35412474849095
586,918,994,76,92.35412474849095
587,918,994,76,92.35412474849095
588,918,994,76,92.35412474849095
589,918,994,76,92.35412474849095
590,918,994,76,92.35412474849095
591,918,994,76,92.35412474849095
592,918,994,76,92.35412474849095
593,918,994,76,92.35412474849095
594,918,994,76,92.35412474849095
595,918,994,76,92.35412474849095
596,918,994,76,92.35412474849095
597,918,994,76,92.35412474849095
598,918,994,76,92.35412474849095
599,918,994,76,92.35412474849095
600,918,994,76,92.35412474849095
601,918,994,76,92.35412474849095
602,918,994,76,92.35412474849095
603,918,994,76,92.35412474849095
604,918,994,76,92.35412474849095
605,918,994,76,92.35412474849095
606,918,994,76,92.35412474849095
607,918,994,76,92.35412474849095
608,918,994,76,92.35412474849095
609,918,994,76,92.35412474849095
610,918,994,76,92.35412474849095
611,918,994,76,92.35412474849095
612,918,994,76,92.35412474849095
613,918,994,76,92.35412474849095
614,918,994,76,92.35412474849095
615,918,994,76,92.35412474849095
616,918,994,76,92.35412474849095
617,918,994,76,92.35412474849095
618,918,994,76,92.35412474849095
619,918,994,76,92.35412474849095
620,918,994,76,92.35412474849095
621,918,994,76,92.35412474849095
622,918,994,76,92.35412474849095
623,918,994,76,92.35412474849095
624,918,994,76,92.35412474849095
625,918,994,76,92.35412474849095
626,918,994,76,92.35412474849095
627,918,994,76,92.35412474849095
628,918,994,76,92.35412474849095
629,918,994,76,92.35412474849095
630,918,994,76,92.35412474849095
631,918,994,76,92.35412474849095
632,918,994,76,92.35412474849095
633,918,994,76,92.35412474849095
634,918,994,76,92.35412474849095
635,918,994,76,92.35412474849095
636,918,994,76,92.35412474849095
637,918,994,76,92.35412474849095
638,918,994,76,92.35412474849095
639,918,994,76,92.35412474849095
640,918,994,76,92.35412474849095
641,918,994,76,92.35412474849095
642,918,994,76,92.35412474849095
643,918,994,76,92.35412474849095
644,918,994,76,92.35412474849095
645,918,994,76,92.35412474849095
646,918,994,76,92.35412474849095
647,918,994,76,92.35412474849095
648,918,994,76,92.35412474849095
649,918,994,76,92.35412474849095
650,918,994,76,92.35412474849095
651,918,994,76,92.35412474849095
652,918,994,76,92.35412474849095
653,918,994,76,92.35412474849095
654,918,994,76,92.35412474849095
655,918,994,76,92.35412474849095
656,918,994,76,92.35412474849095
657,918,994,76,92.35412474849095
658,918,994,76,92.35412474849095
659,918,994,76,92.35412474849095
660,918,994,76,92.35412474849095
661,918,994,76,92.35412474849095
662,918,994,76,92.35412474849095
663,918,994,76,92.35412474849095
664,918,994,76,92.35412474849095
665,918,994,76,92.35412474849095
666,918,994,76,92.35412474849095
667,918,994,76,92.35412474849095
668,918,994,76,92.35412474849095
669,918,994,76,92.35412474849095
670,918,994,76,92.35412474849095
671,918,994,76,92.35412474849095
672,918,994,76,92.35412474849095
673,918,994,76,92.35412474849095
674,918,994,76,92.35412474849095
675,918,994,76,92.35412474849095
676,918,994,76,92.35412474849095
677,918,994,76,92.35412474849095
678,918,994,76,92.35412474849095
679,918,994,76,92.35412474849095
680,918,994,76,92.35412474849095
681,918,994,76,92.35412474849095
682,918,994,76,92.35412474849095
683,918,994,76,92.35412474849095
684,918,994,76,92.35412474849095
685,918,994,76,92.35412474849095
686,918,994,76,92.35412474849095
687,918,994,76,92.35412474849095
688,918,994,76,92.35412474849095
689,918,994,76,92.35412474849095
690,918,994,76,92.35412474849095
691,918,994,76,92.35412474849095
692,918,994,76,92.35412474849095
693,918,994,76,92.35412474849095
694,918,994,76,92.35412474849095
695,918,994,76,92.35412474849095
696,918,994,76,92.35412474849095
697,918,994,76,92.35412474849095
698,918,994,76,92.35412474849095
699,918,994,76,92.35412474849095
700,918,994,76,92.35412474849095
701,918,994,76,92.35412474849095
702,918,994,76,92.35412474849095
703,918,994,76,92.35412474849095
704,918,994,76,92.35412474849095
705,918,994,76,92.35412474849095
706,918,994,76,92.35412474849095
707,918,994,76,92.35412474849095
708,918,994,76,92.35412474849095
709,918,994,76,92.35412474849095
710,918,994,76,92.35412474849095
711,918,994,76,92.35412474849095
712,918,994,76,92.35412474849095
713,918,994,76,92.35412474849095
714,918,994,76,92.35412474849095
715,918,994,76,92.35412474849095
716,918,994,76,92.35412474849095
717,918,994,76,92.35412474849095
718,918,994,76,92.35412474849095
719,918,994,76,92.35412474849095
720,918,994,76,92.35412474849095
721,918,994,76,92.35412474849095
722,918,994,76,92.35412474849095
723,918,994,76,92.35412474849095
724,918,994,76,92.35412474849095
725,918,994,76,92.35412474849095
726,918,994,76,92.35412474849095
727,918,994,76,92.35412474849095
728,918,994,76,92.35412474849095
729,918,994,76,92.35412474849095
730,918,994,76,92.35412474849095
731,918,994,76,92.35412474849095
732,918,994,76,92.35412474849095
733,918,994,76,92.35412474849095
734,918,994,76,92.35412474849095
735,918,994,76,92.35412474849095
736,918,994,76,92.35412474849095
737,918,994,76,92.35412474849095
738,918,994,76,92.35412474849095
739,918,994,76,92.35412474849095
740,918,994,76,92.35412474849095
741,918,994,76,92.35412474849095
742,918,994,76,92.35412474849095
743,918,994,76,92.35412474849095
744,918,994,76,92.35412474849095
745,918,994,76,92.35412474849095
746,918,994,76,92.35412474849095
747,918,994,76,92.35412474849095
748,919,994,75,92.45472837022133
749,919,994,75,92.45472837022133
750,919,994,75,92.45472837022133
751,919,994,75,92.45472837022133
752,919,994,75,92.45472837022133
753,919,994,75,92.45472837022133
754,919,994,75,92.45472837022133
755,919,994,75,92.45472837022133
756,919,994,75,92.45472837022133
757,919,994,75,92.45472837022133
758,919,994,75,92.45472837022133
759,919,994,75,92.45472837022133
760,919,994,75,92.45472837022133
761,919,994,75,92.45472837022133
762,919,994,75,92.45472837022133
763,919,994,75,92.45472837022133
764,919,994,75,92.45472837022133
765,919,994,75,92.45472837022133
766,919,994,75,92.45472837022133
767,919,994,75,92.45472837022133
768,919,994,75,92.45472837022133
769,919,994,75,92.45472837022133
770,919,994,75,92.45472837022133
771,919,994,75,92.45472837022133
772,919,994,75,92.45472837022133
773,919,994,75,92.45472837022133
774,919,994,75,92.45472837022133
775,919,994,75,92.45472837022133
776,919,994,75,92.45472837022133
777,919,994,75,92.45472837022133
778,919,994,75,92.45472837022133
779,919,994,75,92.45472837022133
780,919,994,75,92.45472837022133
781,919,994,75,92.45472837022133
782,919,994,75,92.45472837022133
783,920,994,74,92.5553319919517
784,920,994,74,92.5553319919517
785,920,994,74,92.5553319919517
786,920,994,74,92.5553319919517
787,920,994,74,92.5553319919517
788,920,994,74,92.5553319919517
789,920,994,74,92.5553319919517
790,920,994,74,92.5553319919517
791,920,994,74,92.5553319919517
792,920,994,74,92.5553319919517
793,920,994,74,92.5553319919517
794,920,994,74,92.5553319919517
795,920,994,74,92.5553319919517
796,920,994,74,92.5553319919517
797,920,994,74,92.5553319919517
798,920,994,74,92.5553319919517
799,920,994,74,92.5553319919517
800,920,994,74,92.5553319919517
801,920,994,74,92.5553319919517
802,920,994,74,92.5553319919517
